time,jogos_casa,gols_marcados_casa,gols_sofridos_casa,xg_casa,vitorias_casa,jogos_fora,gols_marcados_fora,gols_sofridos_fora,xg_fora,vitorias_fora,jogos_totais,saldo_gols_casa,saldo_gols_fora,vantagem_casa,cluster,perfil_cluster
Sweden,1,5.0,1.0,3.12,1,3,0.6666666666666666,3.0,0.8333333333333334,0,4,4.0,-2.3333333333333335,6.333333333333334,2,Equilibrados
Senegal,1,5.0,0.0,3.01,1,3,1.6666666666666667,3.0,2.0366666666666666,0,4,5.0,-1.3333333333333333,6.333333333333333,2,Equilibrados
Qatar,1,1.0,1.0,0.78,0,2,0.5,4.5,0.585,0,3,0.0,-4.0,4.0,0,Discretos/eliminados cedo
Bosnia and Herzegovina,1,3.0,1.0,1.48,1,3,0.6666666666666666,2.3333333333333335,0.7033333333333333,0,4,2.0,-1.666666666666667,3.666666666666667,2,Equilibrados
Austria,1,3.0,1.0,1.98,1,3,1.0,2.6666666666666665,0.77,0,4,2.0,-1.6666666666666665,3.6666666666666665,2,Equilibrados
Germany,3,3.3333333333333335,1.0,2.4633333333333334,2,1,1.0,2.0,1.55,0,4,2.3333333333333335,-1.0,3.3333333333333335,2,Equilibrados
Congo DR,1,3.0,1.0,2.35,1,3,0.6666666666666666,1.3333333333333333,0.83,0,4,2.0,-0.6666666666666666,2.6666666666666665,2,Equilibrados
Switzerland,4,2.0,0.5,1.595,3,2,1.0,2.0,1.0350000000000001,0,6,1.5,-1.0,2.5,2,Equilibrados
Türkiye,2,1.5,1.5,1.01,1,1,0.0,2.0,0.72,0,3,0.0,-2.0,2.0,1,Ofensivos irregulares
USA,4,2.25,1.25,1.4849999999999999,3,1,2.0,3.0,1.45,0,5,1.0,-1.0,2.0,3,Elite (ataque e defesa fortes)
South Korea,1,2.0,1.0,1.45,1,2,0.0,1.0,0.9849999999999999,0,3,1.0,-1.0,2.0,1,Ofensivos irregulares
Australia,2,1.5,0.5,1.175,1,2,0.0,1.0,0.4,0,4,1.0,-1.0,2.0,1,Ofensivos irregulares
Ecuador,2,1.0,0.5,1.6,1,2,0.0,1.5,0.84,0,4,0.5,-1.5,2.0,1,Ofensivos irregulares
Saudi Arabia,1,1.0,1.0,0.85,0,2,0.0,2.0,0.315,0,3,0.0,-2.0,2.0,1,Ofensivos irregulares
Ghana,1,1.0,0.0,1.3,1,3,0.3333333333333333,1.0,0.63,0,4,1.0,-0.6666666666666667,1.6666666666666667,1,Ofensivos irregulares
Croatia,1,2.0,1.0,0.42,1,3,1.3333333333333333,2.0,1.4866666666666666,1,4,1.0,-0.6666666666666667,1.6666666666666667,1,Ofensivos irregulares
